Channel,LQE,UpLink Power,Downlink Power,Time
18,6,-90,-86.31404735,7:39:02
19,6,-89.68807488,-87.09981751,7:39:02
20,7,-90,-89.38139986,7:39:02
21,6,-90,-89.38139986,7:39:02
23,3,-90,-90,7:39:02
24,3,-90,-90,7:39:02
26,3,-90,-89.68807488,7:39:02
11,3,-90,-88.78321235,7:39:02
12,3,-90,-90,7:39:02
13,3,-90,-90,7:39:08
14,3,-90,-90,7:39:08
15,3,-90,-90,7:39:08
16,2,-89.38139986,-88.49141223,7:39:08
17,4,-90,-90,7:39:08
18,4,-89.68807488,-86.57216784,7:39:08
19,5,-90,-87.64351265,7:39:08
20,5,-90,-90,7:39:08
21,5,-90,-89.38139986,7:39:08
23,5,-90,-90,7:39:08
24,5,-90,-90,7:39:08
26,5,-89.38139986,-89.68807488,7:39:08
11,7,-89.68807488,-87.64351265,7:39:08
12,7,-90,-90,7:39:08
13,6,-90,-89.38139986,7:39:16
14,6,-90,-90,7:39:16
15,5,-90,-90,7:39:16
16,5,-90,-89.68807488,7:39:16
17,5,-90,-90,7:39:16
18,5,-88.49141223,-88.20428693,7:39:16
19,9,-89.68807488,-86.57216784,7:39:16
20,9,-90,-89.68807488,7:39:16
21,8,-90,-88.78321235,7:39:16
23,7,-90,-90,7:39:16
24,7,-90,-90,7:39:16
26,7,-89.68807488,-88.20428693,7:39:16
11,8,-90,-88.78321235,7:39:16
12,8,-90,-90,7:39:16
13,8,-90,-89.07982737,7:39:25
14,8,-90,-89.68807488,7:39:25
15,4,-89.68807488,-89.68807488,7:39:25
16,4,-90,-89.07982737,7:39:25
17,4,-90,-90,7:39:25
18,4,-88.78321235,-87.64351265,7:39:25
19,7,-89.38139986,-86.31404735,7:39:28
20,9,-90,-89.68807488,7:39:28
21,8,-90,-89.68807488,7:39:28
23,8,-90,-90,7:39:28
24,8,-90,-90,7:39:28
26,8,-90,-89.68807488,7:39:28
11,8,-90,-88.78321235,7:39:28
12,7,-90,-90,7:39:28
13,7,-90,-88.78321235,7:39:33
14,7,-90,-90,7:39:33
15,4,-90,-90,7:39:33
16,2,-90,-89.68807488,7:39:33
17,2,-90,-90,7:39:33
18,2,-90,-87.64351265,7:39:33
19,2,-87.64351265,-85.80861003,7:39:33
20,8,-90,-89.38139986,7:39:33
21,8,-90,-88.20428693,7:39:33
23,8,-90,-90,7:39:33
24,8,-90,-90,7:39:33
26,8,-89.68807488,-89.07982737,7:39:33
11,8,-90,-88.20428693,7:39:33
12,8,-90,-90,7:39:33
13,8,-90,-89.07982737,7:39:41
14,8,-90,-90,7:39:41
15,8,-90,-90,7:39:41
16,3,-90,-88.78321235,7:39:41
17,3,-90,-89.68807488,7:39:41
18,3,-89.07982737,-87.9216988,7:39:41
19,6,-89.68807488,-89.38139986,7:39:41
20,6,-90,-89.38139986,7:39:41
21,6,-89.68807488,-89.38139986,7:39:41
22,6,-90,-90,7:39:41
23,6,-90,-90,7:39:41
24,6,-90,-90,7:39:41
26,6,-89.07982737,-89.68807488,7:39:41
11,9,-89.07982737,-87.36959568,7:39:41
12,11,-90,-90,7:39:41
13,11,-90,-90,7:39:50
14,9,-90,-90,7:39:50
15,8,-90,-90,7:39:50
16,8,-89.68807488,-88.78321235,7:39:50
17,8,-90,-90,7:39:50
18,8,-88.49141223,-86.83405012,7:39:50
19,12,-89.68807488,-86.83405012,7:39:50
20,13,-90,-89.38139986,7:39:50
21,10,-90,-90,7:39:50
23,8,-90,-90,7:39:50
24,8,-90,-90,7:39:50
26,8,-89.38139986,-89.38139986,7:39:50
11,9,-88.78321235,-88.49141223,7:39:50
12,13,-90,-90,7:39:50
13,12,-90,-89.68807488,7:39:58
14,12,-90,-90,7:39:58
15,8,-90,-89.68807488,7:39:58
16,7,-90,-89.68807488,7:39:58
17,7,-90,-90,7:39:58
18,7,-88.49141223,-88.49141223,7:39:58
19,11,-88.78321235,-88.20428693,7:39:58
20,14,-90,-90,7:39:58
21,12,-90,-89.68807488,7:39:58
23,9,-90,-90,7:39:58
24,9,-90,-90,7:39:58
26,9,-89.38139986,-89.68807488,7:39:58
11,11,-88.78321235,-87.9216988,7:39:58
12,14,-90,-90,7:39:58
13,14,-90,-89.38139986,7:40:07
14,14,-90,-90,7:40:07
15,10,-90,-90,7:40:07
16,7,-90,-89.68807488,7:40:07
17,7,-90,-90,7:40:07
18,7,-88.49141223,-87.09981751,7:40:10
19,11,-89.07982737,-87.64351265,7:40:10
20,13,-90,-90,7:40:10
21,12,-90,-89.68807488,7:40:10
24,8,-90,-90,7:40:10
26,8,-89.38139986,-87.64351265,7:40:10
11,10,-90,-89.07982737,7:40:10
12,10,-90,-90,7:40:10
13,10,-90,-89.38139986,7:40:15
14,10,-90,-90,7:40:15
15,10,-90,-89.68807488,7:40:15
16,6,-90,-89.38139986,7:40:15
17,4,-90,-90,7:40:15
18,4,-89.07982737,-87.36959568,7:40:15
19,6,-89.38139986,-88.20428693,7:40:15
20,8,-90,-90,7:40:15
21,6,-90,-90,7:40:15
24,6,-90,-90,7:40:15
26,6,-89.68807488,-87.9216988,7:40:15
11,7,-90,-89.07982737,7:40:15
12,7,-90,-90,7:40:15
13,7,-90,-89.68807488,7:40:24
14,7,-90,-90,7:40:24
15,7,-90,-90,7:40:24
16,5,-90,-89.07982737,7:40:24
17,3,-90,-90,7:40:26
18,3,-89.07982737,-88.20428693,7:40:26
19,6,-90,-86.57216784,7:40:26
20,6,-90,-90,7:40:28
21,5,-90,-89.68807488,7:40:28
24,5,-90,-90,7:40:28
26,5,-88.78321235,-87.9216988,7:40:28
11,8,-90,-89.07982737,7:40:28
12,8,-90,-89.68807488,7:40:28
13,8,-90,-89.07982737,7:40:32
14,8,-90,-89.68807488,7:40:32
15,8,-90,-89.68807488,7:40:32
16,5,-90,-90,7:40:32
17,5,-90,-90,7:40:32
18,5,-88.20428693,-87.36959568,7:40:32
19,10,-89.07982737,-87.36959568,7:40:32
20,12,-90,-89.68807488,7:40:32
21,9,-90,-90,7:40:32
23,9,-90,-90,7:40:32
26,9,-89.68807488,-88.20428693,7:40:32
11,10,-90,-88.49141223,7:40:32
12,10,-90,-90,7:40:32
13,10,-90,-89.38139986,7:40:41
14,10,-90,-90,7:40:41
15,10,-89.68807488,-90,7:40:41
16,6,-89.68807488,-89.07982737,7:40:41
17,5,-90,-90,7:40:41
18,5,-88.49141223,-88.49141223,7:40:41
19,9,-90,-87.36959568,7:40:41
20,9,-90,-90,7:40:41
21,8,-90,-90,7:40:41
23,8,-90,-90,7:40:41
24,8,-90,-90,7:40:41
26,8,-89.38139986,-88.78321235,7:40:41
11,9,-90,-88.49141223,7:40:41
12,9,-90,-90,7:40:41
13,8,-90,-88.49141223,7:40:49
14,8,-90,-90,7:40:49
15,4,-90,-90,7:40:49
16,4,-89.68807488,-89.38139986,7:40:49
17,5,-90,-90,7:40:49
18,5,-89.07982737,-88.20428693,7:40:49
19,7,-89.38139986,-87.9216988,7:40:49
20,9,-90,-90,7:40:49
23,7,-90,-90,7:40:49
24,7,-90,-90,7:40:49
26,7,-89.38139986,-89.38139986,7:40:49
11,9,-89.68807488,-88.49141223,7:40:49
12,10,-90,-90,7:40:49
13,10,-90,-90,7:40:58
14,9,-90,-90,7:40:58
15,9,-90,-90,7:40:58
16,7,-90,-89.38139986,7:40:58
17,5,-90,-90,7:40:58
18,5,-88.49141223,-88.20428693,7:40:58
19,9,-89.68807488,-86.31404735,7:41:01
20,9,-90,-90,7:41:01
21,8,-90,-89.07982737,7:41:01
24,7,-90,-90,7:41:01
26,7,-89.38139986,-89.07982737,7:41:01
11,9,-90,-89.07982737,7:41:01
12,9,-90,-90,7:41:01
13,9,-90,-89.38139986,7:41:06
14,9,-90,-90,7:41:06
15,9,-90,-90,7:41:06
16,5,-90,-89.07982737,7:41:06
17,4,-90,-90,7:41:06
18,4,-88.78321235,-86.57216784,7:41:06
19,7,-89.38139986,-88.78321235,7:41:06
20,9,-90,-90,7:41:06
21,7,-90,-89.68807488,7:41:06
26,7,-89.38139986,-88.49141223,7:41:06
11,9,-90,-90,7:41:06
12,9,-90,-89.68807488,7:41:06
13,9,-90,-89.38139986,7:41:15
14,9,-90,-89.38139986,7:41:15
15,9,-90,-89.68807488,7:41:15
16,9,-90,-90,7:41:15
17,6,-90,-90,7:41:15
18,4,-88.78321235,-87.36959568,7:41:15
19,7,-89.68807488,-88.49141223,7:41:15
20,8,-90,-89.68807488,7:41:15
21,6,-89.68807488,-89.68807488,7:41:15
24,7,-90,-90,7:41:15
25,7,-90,-90,7:41:15
26,7,-88.78321235,-88.78321235,7:41:15
11,10,-90,-89.68807488,7:41:15
12,10,-90,-90,7:41:15
13,10,-90,-89.38139986,7:41:23
14,10,-90,-89.38139986,7:41:23
15,7,-90,-89.68807488,7:41:23
16,6,-90,-89.68807488,7:41:23
17,6,-90,-90,7:41:23
18,5,-89.38139986,-87.64351265,7:41:23
19,7,-89.38139986,-88.20428693,7:41:23
20,9,-90,-90,7:41:23
21,6,-90,-89.38139986,7:41:23
24,6,-90,-90,7:41:23
26,6,-89.07982737,-88.78321235,7:41:23
11,8,-90,-89.38139986,7:41:23
12,8,-90,-90,7:41:23
13,8,-90,-89.68807488,7:41:32
14,8,-90,-90,7:41:32
15,8,-90,-90,7:41:32
16,6,-90,-89.07982737,7:41:32
17,5,-90,-90,7:41:32
18,5,-88.49141223,-88.49141223,7:41:32
19,8,-88.20428693,-87.9216988,7:41:32
20,13,-90,-90,7:41:32
21,10,-90,-90,7:41:32
23,10,-90,-90,7:41:32
24,10,-90,-90,7:41:32
26,10,-89.38139986,-88.20428693,7:41:32
11,12,-89.68807488,-89.07982737,7:41:32
12,13,-90,-90,7:41:32
13,13,-90,-89.68807488,7:41:40
14,13,-90,-90,7:41:40
15,9,-90,-90,7:41:40
16,5,-90,-89.38139986,7:41:40
17,5,-90,-90,7:41:40
18,5,-89.38139986,-86.83405012,7:41:40
19,7,-88.20428693,-86.57216784,7:41:40
20,11,-90,-89.68807488,7:41:40
21,9,-90,-89.68807488,7:41:40
26,8,-89.38139986,-89.07982737,7:41:40
11,10,-89.68807488,-87.64351265,7:41:40
12,11,-90,-90,7:41:40
13,11,-90,-89.68807488,7:41:49
14,11,-90,-90,7:41:49
15,11,-90,-89.68807488,7:41:49
16,11,-90,-89.07982737,7:41:49
17,9,-90,-90,7:41:49
18,5,-89.38139986,-88.78321235,7:41:49
19,7,-89.07982737,-87.9216988,7:41:49
20,9,-90,-88.78321235,7:41:49
21,7,-90,-90,7:41:49
23,6,-90,-90,7:41:49
26,6,-89.38139986,-88.49141223,7:41:49
11,8,-89.68807488,-88.78321235,7:41:49
12,9,-90,-90,7:41:49
13,9,-90,-89.68807488,7:41:57
14,9,-90,-89.38139986,7:41:57
15,9,-90,-90,7:41:57
16,7,-90,-90,7:41:57
17,5,-90,-90,7:41:57
18,5,-88.20428693,-86.83405012,7:41:57
19,9,-89.68807488,-88.20428693,7:41:57
20,10,-90,-89.38139986,7:41:57
21,8,-89.68807488,-89.38139986,7:41:57
24,8,-90,-90,7:41:57
26,8,-90,-88.20428693,7:41:57
11,8,-90,-89.68807488,7:41:57
12,8,-90,-90,7:41:57
13,8,-90,-90,7:42:05
14,8,-90,-90,7:42:05
15,8,-90,-90,7:42:05
16,4,-90,-90,7:42:05
17,3,-90,-90,7:42:05
18,3,-88.78321235,-87.09981751,7:42:08
19,5,-90,-87.9216988,7:42:08
20,5,-90,-90,7:42:08
21,5,-90,-89.07982737,7:42:08
24,5,-90,-90,7:42:08
26,5,-89.68807488,-89.38139986,7:42:08
11,6,-90,-90,7:42:08
12,6,-90,-90,7:42:08
13,6,-90,-90,7:42:14
14,6,-90,-90,7:42:14
15,6,-90,-89.68807488,7:42:14
16,3,-90,-90,7:42:14
17,3,-90,-90,7:42:14
18,3,-88.78321235,-86.05956766,7:42:14
19,6,-88.78321235,-87.09981751,7:42:17
20,9,-90,-90,7:42:17
21,9,-90,-89.07982737,7:42:17
24,9,-90,-90,7:42:17
25,9,-90,-90,7:42:17
26,9,-89.07982737,-88.49141223,7:42:17
11,11,-90,-89.68807488,7:42:17
12,11,-90,-90,7:42:17
13,11,-90,-90,7:42:22
14,11,-90,-90,7:42:22
15,8,-90,-90,7:42:22
16,5,-90,-90,7:42:22
17,5,-90,-90,7:42:22
18,5,-88.49141223,-86.83405012,7:42:22
19,8,-88.49141223,-87.64351265,7:42:22
20,12,-90,-89.68807488,7:42:22
21,10,-90,-90,7:42:22
24,10,-90,-90,7:42:22
25,10,-90,-90,7:42:22
26,10,-89.38139986,-88.78321235,7:42:22
11,11,-90,-89.68807488,7:42:22
12,11,-90,-90,7:42:22
13,11,-90,-89.38139986,7:42:31
14,11,-90,-90,7:42:31
15,8,-90,-89.68807488,7:42:31
16,4,-90,-90,7:42:31
17,4,-90,-90,7:42:31
18,4,-88.49141223,-87.9216988,7:42:31
19,8,-89.38139986,-88.20428693,7:42:31
20,9,-90,-89.68807488,7:42:31
21,8,-90,-89.68807488,7:42:31
23,8,-90,-90,7:42:31
25,8,-90,-90,7:42:31
26,8,-89.07982737,-89.07982737,7:42:31
11,10,-90,-87.64351265,7:42:31
12,10,-90,-90,7:42:31
13,10,-90,-89.68807488,7:42:39
14,10,-90,-90,7:42:39
15,6,-90,-89.68807488,7:42:39
16,5,-90,-89.68807488,7:42:39
17,5,-90,-90,7:42:39
18,5,-89.07982737,-87.09981751,7:42:42
19,7,-88.78321235,-86.83405012,7:42:42
20,10,-90,-89.68807488,7:42:42
21,8,-90,-89.68807488,7:42:42
23,8,-90,-90,7:42:42
24,8,-90,-90,7:42:42
26,8,-89.07982737,-88.20428693,7:42:42
11,10,-89.68807488,-88.78321235,7:42:42
12,11,-90,-90,7:42:42
13,11,-90,-89.68807488,7:42:48
14,11,-90,-89.68807488,7:42:48
15,9,-90,-89.68807488,7:42:48
16,6,-90,-89.38139986,7:42:48
17,6,-90,-90,7:42:48
18,6,-88.78321235,-87.9216988,7:42:48
19,9,-90,-88.20428693,7:42:48
20,9,-90,-90,7:42:48
21,6,-89.68807488,-88.49141223,7:42:48
24,6,-90,-90,7:42:48
25,6,-90,-90,7:42:48
26,6,-89.07982737,-88.20428693,7:42:48
11,9,-90,-90,7:42:48
12,9,-90,-90,7:42:48
13,9,-90,-90,7:42:56
14,9,-90,-90,7:42:56
15,6,-90,-89.68807488,7:42:56
16,6,-90,-90,7:42:56
17,6,-90,-90,7:42:56
18,5,-87.36959568,-85.80861003,7:42:56
19,10,-89.07982737,-87.36959568,7:42:56
20,13,-90,-90,7:42:56
21,10,-90,-88.78321235,7:42:56
24,10,-90,-90,7:42:56
25,10,-90,-90,7:42:56
26,10,-89.38139986,-88.49141223,7:42:56
11,12,-90,-90,7:42:56
12,12,-90,-90,7:42:56
13,12,-90,-89.68807488,7:43:05
14,12,-90,-90,7:43:05
15,6,-90,-90,7:43:05
16,4,-90,-90,7:43:06
17,4,-90,-90,7:43:06
18,4,-88.78321235,-87.09981751,7:43:07
19,7,-89.07982737,-86.83405012,7:43:08
20,10,-90,-89.68807488,7:43:08
21,8,-90,-89.38139986,7:43:08
24,8,-90,-90,7:43:08
26,8,-90,-89.07982737,7:43:08
11,8,-90,-90,7:43:08
12,8,-90,-90,7:43:08
13,8,-90,-90,7:43:13
14,8,-90,-89.38139986,7:43:13
15,8,-90,-90,7:43:13
16,5,-90,-90,7:43:13
17,2,-90,-90,7:43:13
18,2,-88.49141223,-86.31404735,7:43:16
19,6,-88.78321235,-88.20428693,7:43:16
20,9,-90,-89.38139986,7:43:16
21,9,-90,-90,7:43:16
24,9,-90,-90,7:43:16
25,9,-90,-90,7:43:16
26,9,-89.07982737,-88.78321235,7:43:16
11,12,-90,-89.38139986,7:43:16
12,12,-90,-90,7:43:16
13,12,-90,-90,7:43:22
14,12,-90,-90,7:43:22
15,8,-90,-89.07982737,7:43:22
16,5,-90,-89.07982737,7:43:22
17,5,-90,-90,7:43:22
18,5,-88.20428693,-87.9216988,7:43:22
19,9,-89.38139986,-88.20428693,7:43:22
20,11,-90,-89.07982737,7:43:22
21,8,-90,-90,7:43:22
23,8,-90,-90,7:43:22
24,8,-90,-90,7:43:22
26,8,-89.68807488,-88.78321235,7:43:22
11,9,-90,-89.07982737,7:43:22
12,9,-90,-90,7:43:22
13,9,-90,-90,7:43:30
14,9,-90,-90,7:43:30
15,5,-90,-89.38139986,7:43:30
16,3,-90,-89.68807488,7:43:30
17,3,-90,-90,7:43:30
18,3,-89.38139986,-87.09981751,7:43:33
19,5,-90,-88.20428693,7:43:33
20,5,-90,-90,7:43:33
21,4,-90,-90,7:43:33
23,4,-90,-90,7:43:33
24,4,-90,-90,7:43:33
25,4,-90,-90,7:43:33
26,4,-89.07982737,-89.07982737,7:43:33
11,6,-90,-89.68807488,7:43:33
12,6,-90,-90,7:43:33
13,6,-90,-90,7:43:39
14,5,-89.68807488,-90,7:43:39
15,6,-90,-89.07982737,7:43:39
16,6,-90,-89.68807488,7:43:39
17,6,-90,-90,7:43:39
18,6,-88.78321235,-87.36959568,7:43:39
19,9,-89.68807488,-87.64351265,7:43:39
20,10,-90,-89.68807488,7:43:39
21,7,-90,-89.38139986,7:43:39
24,7,-90,-90,7:43:39
25,7,-90,-90,7:43:39
26,7,-89.68807488,-89.38139986,7:43:39
11,7,-90,-90,7:43:39
12,7,-90,-90,7:43:39
13,7,-90,-90,7:43:47
14,7,-90,-90,7:43:47
15,4,-90,-89.68807488,7:43:47
16,3,-90,-89.68807488,7:43:47
17,3,-90,-90,7:43:47
18,3,-88.20428693,-85.80861003,7:43:47
19,7,-89.07982737,-88.49141223,7:43:47
20,10,-90,-89.38139986,7:43:47
21,9,-90,-88.49141223,7:43:47
24,9,-90,-90,7:43:47
25,9,-90,-90,7:43:47
26,9,-89.68807488,-89.38139986,7:43:47
11,10,-90,-90,7:43:47
12,10,-90,-90,7:43:47
13,10,-90,-90,7:43:56
14,10,-90,-90,7:43:56
15,6,-90,-90,7:43:56
16,3,-90,-89.68807488,7:43:56
17,3,-90,-90,7:43:56
18,3,-87.9216988,-87.09981751,7:43:58
19,8,-89.38139986,-87.09981751,7:43:59
20,10,-90,-89.07982737,7:43:59
21,9,-90,-89.38139986,7:43:59
24,9,-90,-90,7:43:59
25,9,-90,-90,7:43:59
26,9,-89.38139986,-89.07982737,7:43:59
11,10,-90,-90,7:43:59
12,10,-90,-90,7:43:59
13,10,-90,-89.68807488,7:44:04
14,10,-90,-90,7:44:04
15,6,-90,-89.68807488,7:44:04
16,4,-90,-90,7:44:04
17,4,-90,-90,7:44:04
18,4,-87.36959568,-86.31404735,7:44:07
19,10,-88.20428693,-88.20428693,7:44:07
20,14,-89.68807488,-88.49141223,7:44:07
21,13,-90,-88.20428693,7:44:07
24,13,-90,-90,7:44:07
25,13,-90,-90,7:44:07
26,13,-90,-89.07982737,7:44:07
11,13,-90,-90,7:44:07
12,13,-90,-89.68807488,7:44:07
13,13,-90,-89.68807488,7:44:12
14,13,-90,-90,7:44:12
15,7,-90,-89.38139986,7:44:12
16,3,-90,-89.68807488,7:44:12
17,2,-90,-90,7:44:12
18,2,-89.07982737,-85.80861003,7:44:12
19,5,-89.38139986,-87.9216988,7:44:12
20,6,-90,-89.07982737,7:44:12
21,6,-90,-89.68807488,7:44:12
24,6,-90,-90,7:44:12
25,6,-90,-90,7:44:12
26,6,-89.38139986,-88.20428693,7:44:12
11,8,-90,-90,7:44:12
12,8,-90,-90,7:44:12
13,8,-90,-90,7:44:21
14,8,-90,-90,7:44:21
15,6,-90,-89.07982737,7:44:21
16,4,-90,-90,7:44:21
17,4,-90,-90,7:44:21
18,4,-88.20428693,-87.36959568,7:44:21
19,8,-89.68807488,-87.36959568,7:44:21
20,9,-90,-89.68807488,7:44:21
21,7,-90,-89.07982737,7:44:21
24,7,-90,-90,7:44:21
25,7,-90,-90,7:44:21
26,7,-89.68807488,-88.20428693,7:44:21
11,8,-90,-89.38139986,7:44:21
12,8,-90,-90,7:44:21
13,8,-90,-90,7:44:29
14,8,-90,-89.68807488,7:44:29
15,4,-90,-89.68807488,7:44:29
16,3,-90,-89.07982737,7:44:29
17,3,-90,-90,7:44:29
18,3,-88.49141223,-86.57216784,7:44:29
19,7,-88.78321235,-87.36959568,7:44:29
20,10,-90,-89.68807488,7:44:29
21,9,-90,-89.07982737,7:44:29
24,9,-90,-90,7:44:29
26,9,-89.07982737,-88.20428693,7:44:29
11,12,-90,-89.38139986,7:44:29
12,12,-90,-89.68807488,7:44:29
13,12,-90,-89.68807488,7:44:38
14,12,-90,-90,7:44:38
15,12,-90,-88.78321235,7:44:38
16,8,-90,-90,7:44:38
17,5,-90,-90,7:44:38
18,5,-88.49141223,-86.83405012,7:44:38
19,8,-89.68807488,-88.49141223,7:44:38
20,9,-89.68807488,-89.07982737,7:44:38
21,8,-89.38139986,-88.20428693,7:44:38
24,9,-90,-90,7:44:38
26,9,-90,-89.07982737,7:44:38
11,9,-90,-90,7:44:38
12,9,-90,-90,7:44:38
13,9,-90,-90,7:44:46
14,9,-90,-90,7:44:46
15,9,-90,-89.68807488,7:44:46
16,6,-90,-89.68807488,7:44:46
17,5,-90,-90,7:44:46
18,4,-88.78321235,-86.05956766,7:44:46
19,5,-89.07982737,-88.49141223,7:44:46
20,8,-89.38139986,-89.07982737,7:44:46
21,10,-89.38139986,-88.20428693,7:44:46
24,11,-90,-90,7:44:46
26,11,-89.68807488,-89.38139986,7:44:46
11,12,-90,-90,7:44:46
12,12,-90,-90,7:44:46
13,12,-90,-89.68807488,7:44:55
14,12,-90,-89.68807488,7:44:55
15,12,-90,-89.38139986,7:44:55
16,9,-90,-90,7:44:55
17,7,-90,-90,7:44:55
18,5,-87.9216988,-86.31404735,7:44:57
19,8,-89.38139986,-87.36959568,7:44:57
20,10,-89.68807488,-89.07982737,7:44:57
21,10,-89.38139986,-88.20428693,7:44:57
24,11,-90,-90,7:44:57
25,11,-90,-90,7:44:57
26,11,-90,-89.68807488,7:44:57
11,11,-90,-90,7:44:57
12,11,-90,-90,7:44:57
13,11,-90,-90,7:45:03
14,11,-90,-90,7:45:03
15,7,-90,-90,7:45:03
16,5,-90,-89.68807488,7:45:03
17,4,-90,-90,7:45:03
18,2,-89.38139986,-86.83405012,7:45:03
19,4,-88.78321235,-88.20428693,7:45:03
20,7,-90,-89.07982737,7:45:03
21,7,-90,-89.07982737,7:45:03
24,7,-90,-90,7:45:03
25,7,-90,-90,7:45:03
26,7,-88.78321235,-88.49141223,7:45:03
11,10,-90,-90,7:45:03
12,10,-90,-90,7:45:03
13,10,-90,-90,7:45:12
14,10,-90,-89.68807488,7:45:12
15,9,-90,-90,7:45:12
16,5,-90,-90,7:45:12
17,5,-90,-90,7:45:12
18,5,-87.36959568,-86.83405012,7:45:12
19,11,-90,-87.64351265,7:45:12
20,11,-90,-89.07982737,7:45:12
21,8,-90,-88.49141223,7:45:12
24,8,-90,-90,7:45:12
25,8,-90,-90,7:45:12
26,8,-89.07982737,-89.38139986,7:45:12
11,10,-90,-90,7:45:12
12,10,-90,-90,7:45:12
13,10,-90,-90,7:45:20
14,10,-90,-89.07982737,7:45:20
15,5,-90,-89.68807488,7:45:20
16,5,-90,-89.68807488,7:45:20
17,5,-90,-90,7:45:20
18,5,-88.49141223,-87.09981751,7:45:23
19,8,-89.68807488,-87.36959568,7:45:23
20,9,-90,-90,7:45:23
21,7,-90,-89.38139986,7:45:23
24,7,-90,-90,7:45:23
25,7,-90,-90,7:45:23
26,7,-89.38139986,-89.68807488,7:45:23
11,9,-90,-90,7:45:23
12,9,-90,-90,7:45:23
13,9,-90,-90,7:45:29
14,9,-90,-90,7:45:29
15,5,-90,-89.07982737,7:45:29
16,4,-90,-89.68807488,7:45:29
17,4,-90,-90,7:45:29
18,4,-87.09981751,-86.83405012,7:45:31
19,10,-89.38139986,-87.64351265,7:45:31
20,12,-90,-89.68807488,7:45:31
21,10,-89.68807488,-88.49141223,7:45:31
24,11,-90,-89.68807488,7:45:31
25,11,-90,-90,7:45:31
26,11,-89.68807488,-89.68807488,7:45:31
11,12,-90,-90,7:45:31
12,12,-90,-90,7:45:31
13,12,-90,-90,7:45:37
14,12,-90,-90,7:45:37
